strategy,asset,mean_weight,weight_std,minimum_weight,maximum_weight,average_absolute_monthly_weight_change,cap_hit_count,instability_rank_proxy
Equal Risk Contribution,EFA,0.0682244506126709,0.0085769755002276,0.056096884661423,0.0811861555337605,0.0010576396119542,0,0.0096346151121818
Equal Risk Contribution,IWM,0.0554904329658754,0.00753044368205644,0.045270405913248,0.0690375109856909,0.00101234770711782,0,0.00854279138917426
Equal Risk Contribution,QQQ,0.0547907598061305,0.00646750424870098,0.0476265472519662,0.0675903129675202,0.000969218976919342,0,0.00743672322562032
Equal Weight,EEM,0.1,1.25842745834136e-16,0.1,0.1,0,0,1.25842745834136e-16
Equal Weight,EFA,0.1,1.25842745834136e-16,0.1,0.1,0,0,1.25842745834136e-16
Equal Weight,GLD,0.1,1.25842745834136e-16,0.1,0.1,0,0,1.25842745834136e-16
Equal Weight,IEF,0.1,1.25842745834136e-16,0.1,0.1,0,0,1.25842745834136e-16
Equal Weight,IWM,0.1,1.25842745834136e-16,0.1,0.1,0,0,1.25842745834136e-16
Equal Weight,LQD,0.1,1.25842745834136e-16,0.1,0.1,0,0,1.25842745834136e-16
Equal Weight,QQQ,0.1,1.25842745834136e-16,0.1,0.1,0,0,1.25842745834136e-16
Equal Weight,SPY,0.1,1.25842745834136e-16,0.1,0.1,0,0,1.25842745834136e-16
Equal Weight,TLT,0.1,1.25842745834136e-16,0.1,0.1,0,0,1.25842745834136e-16
Equal Weight,VNQ,0.1,1.25842745834136e-16,0.1,0.1,0,0,1.25842745834136e-16
Inverse Volatility,IEF,0.219679609677746,0.0343024159309764,0.173989501709311,0.271614889745842,0.00351164189940992,0,0.0378140578303863
Inverse Volatility,LQD,0.16911803944797,0.0282845429989102,0.142958902524682,0.223602059587397,0.00283357733105143,0,0.0311181203299617
Inverse Volatility,GLD,0.0983047239620098,0.0144688555665263,0.0622718826648338,0.115702788265246,0.00226326588975853,0,0.0167321214562849
Inverse Volatility,EEM,0.0682742896877682,0.0108745526349353,0.0526196854968112,0.0865255392525121,0.000939692398349383,0,0.0118142450332847
Inverse Volatility,EFA,0.0813180919921172,0.00786181993370129,0.0703672354143477,0.0947676246550184,0.000995452725539489,0,0.00885727265924078
Inverse Volatility,SPY,0.0784349251189688,0.00774256779526751,0.0670558507440061,0.0888703116377346,0.00102699337468564,0,0.00876956116995315
Inverse Volatility,VNQ,0.0677616752751,0.00743835568174834,0.057048751670628,0.079284641109306,0.000866585760413039,0,0.00830494144216138
Inverse Volatility,TLT,0.0932081261981413,0.00498880940668661,0.083874326371816,0.100891727751682,0.000864654973660508,0,0.00585346438034712
Inverse Volatility,IWM,0.0614238472387312,0.00409552783133273,0.0551297340301132,0.068642517852875,0.00058305739630028,0,0.00467858522763301
Inverse Volatility,QQQ,0.0624766714014467,0.00367224160055691,0.054976139219629,0.0712933979472309,0.000811949543875256,0,0.00448419114443217
Maximum Sharpe,SPY,0.201096420576105,0.125960905571952,0,0.3,0.0356892597130283,33,0.16165016528498
Maximum Sharpe,IEF,0.110275817434583,0.131620803813853,0,0.3,0.0298745889410525,17,0.161495392754906
Maximum Sharpe,TLT,0.0970698682676586,0.121486185756962,0,0.299999999999998,0.0268243699021385,4,0.1483105556591
Maximum Sharpe,GLD,0.203520131756651,0.10157199482719,0,0.3,0.0332187346152689,29,0.134790729442458
Maximum Sharpe,LQD,0.0559913612363572,0.114548267910753,0,0.3,0.0161475688373362,10,0.130695836748089
Maximum Sharpe,EFA,0.0368351019767027,0.068863536080846,0,0.3,0.0175350467199837,1,0.0863985828008297
Maximum Sharpe,QQQ,0.27504134003086,0.0509957687581751,0.113652185211223,0.3,0.0276492220494699,44,0.0786449908076449
Maximum Sharpe,IWM,0.0191172514165492,0.0478199913684807,0,0.207205193795968,0.0175369552638541,0,0.0653569466323348
Maximum Sharpe,EEM,0.00105270730453226,0.00624349920034475,0,0.0442008805614029,0.00133942062307323,0,0.00758291982341798
Maximum Sharpe,VNQ,2.30706461677995e-16,5.65065270279835e-16,0,3.54268671367373e-15,3.6673805783185e-16,0,9.31803328111686e-16
Minimum CVaR,SPY,0.0761991786268691,0.0993654507313422,0,0.3,0.0274347470969478,3,0.12680019782829
Minimum CVaR,TLT,0.0810341154193948,0.0996382594784432,0,0.3,0.0210612341742362,2,0.120699493652679
Minimum CVaR,LQD,0.248458265985906,0.0946845457522161,0,0.3,0.0189205517250468,42,0.113605097477263
Minimum CVaR,GLD,0.172538132790443,0.0849193406697199,0.0123604721902472,0.3,0.0268707003263842,8,0.111790040996104
Minimum CVaR,EFA,0.0646952562701425,0.0804313464843779,0,0.3,0.0244492238548907,1,0.104880570339269
Minimum CVaR,QQQ,0.0222475089534519,0.0643433460877253,0,0.240435982489958,0.007519595616015,0,0.0718629417037403
Minimum CVaR,IWM,0.0232033299754059,0.0479734785319042,0,0.169346026295804,0.0104092277233753,0,0.0583827062552795
Minimum CVaR,VNQ,0.00803657476706155,0.0275717919563766,0,0.153683059158703,0.00745078984018972,0,0.0350225817965663
Minimum CVaR,EEM,0.00358763721132548,0.0105865928309952,0,0.0522625807074657,0.0040272068539729,0,0.0146137996849681
Minimum CVaR,IEF,0.3,3.91510764817313e-16,0.3,0.3,0,67,3.91510764817313e-16
Minimum Variance,SPY,0.13295326127496,0.0588430116333269,0.0430681724276712,0.28180822773585,0.0129287210481181,0,0.071771732681445
Minimum Variance,TLT,0.0673622080343791,0.0627398243470158,0,0.172954268357519,0.00751679914841923,0,0.070256623495435
Minimum Variance,GLD,0.157525636435391,0.0445439504930117,0.0933922355048815,0.228117204868642,0.00881713357428736,0,0.0533610840672991
Minimum Variance,EFA,0.0464713960781844,0.0412342090737851,0,0.111710051359226,0.0102509577280298,0,0.051485166801815
Minimum Variance,LQD,0.275999354705328,0.0365231197291571,0.191524346402431,0.3,0.00412399763002884,44,0.0406471173591859
Minimum Variance,EEM,0.0123160635181225,0.0185088202545429,0,0.0556768054245231,0.00235655979994371,0,0.0208653800544866
Minimum Variance,IWM,0.00737207995363478,0.0159727578824192,0,0.0708428510088141,0.00291730366191865,0,0.0188900615443378
Minimum Variance,IEF,0.3,4.36346882116042e-16,0.3,0.3,5.38289951333409e-17,67,4.90175877249383e-16
Minimum Variance,VNQ,1.05800168946318e-17,1.57087552568646e-17,0,6.30977149349016e-17,1.33445720183943e-17,0,2.90533272752589e-17
Minimum Variance,QQQ,5.8621171103562e-18,1.09529736964958e-17,0,7.2375655631248e-17,9.52437507252054e-18,0,2.04773487690163e-17
SPY,EEM,0,0,0,0,0,0,0
SPY,EFA,0,0,0,0,0,0,0
SPY,GLD,0,0,0,0,0,0,0
SPY,IEF,0,0,0,0,0,0,0
SPY,IWM,0,0,0,0,0,0,0
SPY,LQD,0,0,0,0,0,0,0
