date,strategy,cost_bps,gross_return,net_return
2024-12-10,Minimum CVaR,5,-0.000971638223380136,-0.000971638223380136
2024-12-11,Minimum CVaR,5,0.001482880781692,0.001482880781692
2024-12-12,Minimum CVaR,5,-0.00607299433654368,-0.00607299433654368
2024-12-13,Minimum CVaR,5,-0.00450817829133927,-0.00450817829133927
2024-12-16,Minimum CVaR,5,0.00153873765744762,0.00153873765744762
2024-12-17,Minimum CVaR,5,-0.00143617694652529,-0.00143617694652529
2024-12-18,Minimum CVaR,5,-0.0165695223378643,-0.0165695223378643
2024-12-19,Minimum CVaR,5,-0.00310943045135735,-0.00310943045135735
2024-12-20,Minimum CVaR,5,0.0060233172981105,0.0060233172981105
2024-12-23,Minimum CVaR,5,-0.000842878550237035,-0.000842878550237035
2024-12-24,Minimum CVaR,5,0.00415695777302302,0.00415695777302302
2024-12-26,Minimum CVaR,5,0.00149356134854824,0.00149356134854824
2024-12-27,Minimum CVaR,5,-0.00532516052099964,-0.00532516052099964
2024-12-30,Minimum CVaR,5,-0.000388087535660273,-0.000388087535660273
2024-12-31,Minimum CVaR,5,-0.00154742730804762,-0.00154742730804762
2025-01-02,Minimum CVaR,5,0.000757475899251199,0.000757475899251199
2025-01-03,Minimum CVaR,5,0.00126873990511741,0.00126873990511741
2025-01-06,Minimum CVaR,5,0.000781225166975521,0.000781225166975521
2025-01-07,Minimum CVaR,5,-0.00492264615167524,-0.00492264615167524
2025-01-08,Minimum CVaR,5,0.00178932338818086,0.00178932338818086
2025-01-10,Minimum CVaR,5,-0.00752339086857793,-0.00752339086857793
2025-01-13,Minimum CVaR,5,-0.002181276094754,-0.002181276094754
2025-01-14,Minimum CVaR,5,0.00151771062776648,0.00151771062776648
2025-01-15,Minimum CVaR,5,0.012619334352261,0.012619334352261
2025-01-16,Minimum CVaR,5,0.00185898960862083,0.00185898960862083
2025-01-17,Minimum CVaR,5,0.00258769608467754,0.00258769608467754
2025-01-21,Minimum CVaR,5,0.00772365310742365,0.00772365310742365
2025-01-22,Minimum CVaR,5,-1.33236664508228e-05,-1.33236664508228e-05
2025-01-23,Minimum CVaR,5,0.000462935912447414,0.000462935912447414
2025-01-24,Minimum CVaR,5,0.0014797639583059,0.0014797639583059
2025-01-27,Minimum CVaR,5,-0.000393182302142267,-0.000393182302142267
2025-01-28,Minimum CVaR,5,0.00245185200132256,0.00245185200132256
2025-01-29,Minimum CVaR,5,-0.00220501963766753,-0.00220501963766753
2025-01-30,Minimum CVaR,5,0.00478934642167274,0.00478934642167274
2025-01-31,Minimum CVaR,5,-0.0031026701082728,-0.0031026701082728
2025-02-03,Minimum CVaR,5,-0.00110173155284846,-0.00110173155284846
2025-02-04,Minimum CVaR,5,0.00463185224805845,0.00463185224805845
2025-02-05,Minimum CVaR,5,0.00602219516917231,0.00602219516917231
2025-02-06,Minimum CVaR,5,-5.3292234936777e-05,-5.3292234936777e-05
2025-02-07,Minimum CVaR,5,-0.00488302573762494,-0.00488302573762494
2025-02-10,Minimum CVaR,5,0.00375375955102953,0.00375375955102953
2025-02-11,Minimum CVaR,5,-0.00133625998052559,-0.00133625998052559
2025-02-12,Minimum CVaR,5,-0.00412122658405429,-0.00412122658405429
2025-02-13,Minimum CVaR,5,0.0088266058260724,0.0088266058260724
2025-02-14,Minimum CVaR,5,0.00101626721509303,0.00101626721509303
2025-02-18,Minimum CVaR,5,-2.53645388719427e-05,-2.53645388719427e-05
2025-02-19,Minimum CVaR,5,0.000634671045529763,0.000634671045529763
2025-02-20,Minimum CVaR,5,0.000685563398505958,0.000685563398505958
2025-02-21,Minimum CVaR,5,-0.0017195463262162,-0.0017195463262162
2025-02-24,Minimum CVaR,5,0.000840069609391071,0.000840069609391071
2025-02-25,Minimum CVaR,5,0.00270926883411274,0.00270926883411274
2025-02-26,Minimum CVaR,5,0.00181073250795037,0.00181073250795037
2025-02-27,Minimum CVaR,5,-0.00763210679486154,-0.00763210679486154
2025-02-28,Minimum CVaR,5,0.00618033152044921,0.00618033152044921
2025-03-03,Minimum CVaR,5,-0.000132755886834258,-0.000132755886834258
2025-03-04,Minimum CVaR,5,-0.00388971724968753,-0.00388971724968753
2025-03-05,Minimum CVaR,5,0.00160422711358015,0.00160422711358015
2025-03-06,Minimum CVaR,5,-0.00646641151263904,-0.00646641151263904
2025-03-07,Minimum CVaR,5,0.00117654221406409,0.00117654221406409
2025-03-10,Minimum CVaR,5,-0.00554862683485464,-0.00554862683485464
2025-03-11,Minimum CVaR,5,-0.00404395285355358,-0.00404395285355358
2025-03-12,Minimum CVaR,5,0.000365648832852698,0.000365648832852698
2025-03-13,Minimum CVaR,5,0.000353804461630041,0.000353804461630041
2025-03-14,Minimum CVaR,5,0.00490560400760743,0.00490560400760743
2025-03-17,Minimum CVaR,5,0.00393580071475589,0.00393580071475589
2025-03-18,Minimum CVaR,5,-0.000339167424073672,-0.000339167424073672
2025-03-19,Minimum CVaR,5,0.00587682881960585,0.00587682881960585
2025-03-20,Minimum CVaR,5,-0.00132948394510815,-0.00132948394510815
2025-03-21,Minimum CVaR,5,-0.00177513442342759,-0.00177513442342759
2025-03-24,Minimum CVaR,5,0.000776797362707698,0.000776797362707698
2025-03-25,Minimum CVaR,5,0.0021651986308468,0.0021651986308468
2025-03-26,Minimum CVaR,5,-0.0056378828785696,-0.0056378828785696
2025-03-27,Minimum CVaR,5,0.000231040737012491,0.000231040737012491
2025-03-28,Minimum CVaR,5,-0.000372701284177939,-0.000372701284177939
2025-03-31,Minimum CVaR,5,0.00395924185158566,0.00395924185158566
2025-04-01,Minimum CVaR,5,0.00314944606054509,0.00310473543097306
2025-04-02,Minimum CVaR,5,0.00192203155235284,0.00192203155235284
2025-04-03,Minimum CVaR,5,-0.00764432378870893,-0.00764432378870893
2025-04-04,Minimum CVaR,5,-0.0136434174386385,-0.0136434174386385
2025-04-07,Minimum CVaR,5,-0.0145273073216488,-0.0145273073216488
2025-04-08,Minimum CVaR,5,-0.0094046065316004,-0.0094046065316004
2025-04-09,Minimum CVaR,5,0.030810454878087,0.030810454878087
2025-04-10,Minimum CVaR,5,-0.0154769602164268,-0.0154769602164268
2025-04-11,Minimum CVaR,5,0.00459349527359358,0.00459349527359358
2025-04-14,Minimum CVaR,5,0.00618654253842802,0.00618654253842802
2025-04-15,Minimum CVaR,5,0.00278268473900273,0.00278268473900273
2025-04-16,Minimum CVaR,5,0.00203404156963512,0.00203404156963512
2025-04-17,Minimum CVaR,5,-0.00214325556908204,-0.00214325556908204
2025-04-21,Minimum CVaR,5,-0.00764085492002267,-0.00764085492002267
2025-04-22,Minimum CVaR,5,0.00523201927974024,0.00523201927974024
2025-04-23,Minimum CVaR,5,0.00290411292528964,0.00290411292528964
2025-04-24,Minimum CVaR,5,0.0115805655826938,0.0115805655826938
2025-04-25,Minimum CVaR,5,0.00356837686327695,0.00356837686327695
2025-04-28,Minimum CVaR,5,0.00407442008679817,0.00407442008679817
2025-04-29,Minimum CVaR,5,0.002574856437962,0.002574856437962
2025-04-30,Minimum CVaR,5,-0.00232389149416633,-0.00232389149416633
2025-05-01,Minimum CVaR,5,-0.00594036977741085,-0.0059825404137646
2025-05-02,Minimum CVaR,5,-0.0012694412253545,-0.0012694412253545
2025-05-05,Minimum CVaR,5,0.00382531451587916,0.00382531451587916
2025-05-06,Minimum CVaR,5,0.00608014958399288,0.00608014958399288
2025-05-07,Minimum CVaR,5,-0.000719098231804487,-0.000719098231804487
2025-05-08,Minimum CVaR,5,-0.00767042598858174,-0.00767042598858174
2025-05-09,Minimum CVaR,5,0.0014951249523886,0.0014951249523886
2025-05-12,Minimum CVaR,5,-0.00398052918356194,-0.00398052918356194
2025-05-13,Minimum CVaR,5,0.0014304905046788,0.0014304905046788
2025-05-14,Minimum CVaR,5,-0.00713361638890445,-0.00713361638890445
2025-05-15,Minimum CVaR,5,0.00854605990710505,0.00854605990710505
2025-05-16,Minimum CVaR,5,-0.000732542550566084,-0.000732542550566084
2025-05-19,Minimum CVaR,5,0.00235589022999059,0.00235589022999059
2025-05-20,Minimum CVaR,5,0.00162860437615082,0.00162860437615082
2025-05-21,Minimum CVaR,5,-0.00736759634865029,-0.00736759634865029
2025-05-22,Minimum CVaR,5,0.00133291068565839,0.00133291068565839
2025-05-23,Minimum CVaR,5,0.00468252694133083,0.00468252694133083
2025-05-27,Minimum CVaR,5,0.00428498846888841,0.00428498846888841
2025-05-28,Minimum CVaR,5,-0.00306440796503887,-0.00306440796503887
2025-05-29,Minimum CVaR,5,0.00494937508913615,0.00494937508913615
2025-05-30,Minimum CVaR,5,0.000416114201286715,0.000416114201286715
2025-06-02,Minimum CVaR,5,0.00345814211146215,0.00345814211146215
2025-06-03,Minimum CVaR,5,-0.00129883615764149,-0.00129883615764149
2025-06-04,Minimum CVaR,5,0.00681431704772622,0.00681431704772622
2025-06-05,Minimum CVaR,5,-0.00338053761500616,-0.00338053761500616
2025-06-06,Minimum CVaR,5,-0.00646542550160169,-0.00646542550160169
2025-06-09,Minimum CVaR,5,0.0025727260451781,0.0025727260451781
2025-06-10,Minimum CVaR,5,0.00240263014673352,0.00240263014673352
2025-06-11,Minimum CVaR,5,0.00312270380020248,0.00312270380020248
2025-06-12,Minimum CVaR,5,0.00682110478067062,0.00682110478067062
2025-06-13,Minimum CVaR,5,-0.00244725047938139,-0.00244725047938139
2025-06-16,Minimum CVaR,5,-0.00372566142528918,-0.00372566142528918
2025-06-17,Minimum CVaR,5,0.00238518735536006,0.00238518735536006
2025-06-18,Minimum CVaR,5,-0.000549766908515708,-0.000549766908515708
2025-06-20,Minimum CVaR,5,-7.96101856060208e-05,-7.96101856060208e-05
2025-06-23,Minimum CVaR,5,0.00391118918906996,0.00391118918906996
2025-06-24,Minimum CVaR,5,0.00128409829296142,0.00128409829296142
2025-06-25,Minimum CVaR,5,0.000534559499083795,0.000534559499083795
2025-06-26,Minimum CVaR,5,0.00332661713902276,0.00332661713902276
2025-06-27,Minimum CVaR,5,-0.00469949673063526,-0.00469949673063526
2025-06-30,Minimum CVaR,5,0.00655658256832082,0.00655658256832082
2025-07-01,Minimum CVaR,5,0.00175674383148908,0.00174330403953387
2025-07-02,Minimum CVaR,5,0.000840006454933774,0.000840006454933774
2025-07-03,Minimum CVaR,5,-0.00238536049972579,-0.00238536049972579
