date,strategy,rolling_12m_return,rolling_12m_volatility,rolling_12m_sharpe
2019-03-01,Equal Weight,0.03240285050678704,0.08806188682310137,0.14084243427240972
2019-03-04,Equal Weight,0.036930529540295076,0.08794706066263293,0.1925081908676971
2019-03-05,Equal Weight,0.03520969241924443,0.08791026616896556,0.17301383651837718
2019-03-06,Equal Weight,0.026841723879211354,0.08789441876313964,0.0778402539716273
2019-03-07,Equal Weight,0.016577849120806176,0.08790889735537005,-0.03892837906224491
2019-03-08,Equal Weight,0.016410416289650565,0.08790735273159404,-0.04083371411842475
2019-03-11,Equal Weight,0.02324951334075398,0.08831225036397469,0.036795725704658944
2019-03-12,Equal Weight,0.01946954661587741,0.08807869497812153,-0.0060224936831132034
2019-03-13,Equal Weight,0.020764026473809816,0.08812012009586452,0.008670284073360802
2019-03-14,Equal Weight,0.020573310175803883,0.08812704551996837,0.006505496382197201
2019-03-15,Equal Weight,0.02565783704202751,0.08830378898010995,0.06407241532186023
2019-03-18,Equal Weight,0.029497349297795017,0.08830501197018026,0.10755164498479632
2019-03-19,Equal Weight,0.02911324910013624,0.08830562690149381,0.1032012275990317
2019-03-20,Equal Weight,0.04007650402314811,0.08799322565422087,0.2281596551766491
2019-03-21,Equal Weight,0.04630920344593337,0.08817353770873006,0.2983798101970507
2019-03-22,Equal Weight,0.0337534628473819,0.0887680340983096,0.15493711207065927
2019-03-25,Equal Weight,0.048208776755989335,0.08797952308121446,0.32062888917856075
2019-03-26,Equal Weight,0.06309713446502108,0.08733559496533254,0.493465859849335
2019-03-27,Equal Weight,0.045201647989014715,0.08609537257997478,0.2927177992708571
2019-03-28,Equal Weight,0.0553386696017546,0.08575085070335899,0.41210867661246803
2019-03-29,Equal Weight,0.05806010038417564,0.08578995198835093,0.44364286844855283
2019-04-01,Equal Weight,0.0532381681554277,0.08548441421030238,0.38882138296763236
2019-04-02,Equal Weight,0.06605495815287044,0.08479981215822172,0.5431021246478693
2019-04-03,Equal Weight,0.06272082110945765,0.08471151346262744,0.5043095013088744
2019-04-04,Equal Weight,0.059075532673935394,0.08457900667789169,0.46200037348215206
2019-04-05,Equal Weight,0.0615226310370498,0.08464745578559901,0.4905360787478506
2019-04-08,Equal Weight,0.06926314672616818,0.08426564443107779,0.5846172192566721
