rebalance_date,strategy,asset,estimated_return
2019-03-01,Minimum Variance,VNQ,0.08377309334628043
2019-03-01,Minimum Variance,EEM,0.15179659267821172
2019-03-01,Minimum Variance,IWM,0.16531113987101456
2019-03-01,Minimum Variance,SPY,0.1465079227658322
2019-03-01,Maximum Sharpe,GLD,0.02572324934083579
2019-03-01,Maximum Sharpe,TLT,0.0030876462581667353
2019-03-01,Maximum Sharpe,QQQ,0.19544458533033154
2019-03-01,Maximum Sharpe,IEF,0.0011410956307132125
2019-03-01,Maximum Sharpe,LQD,0.037564386273626
2019-03-01,Maximum Sharpe,EFA,0.0965718372379299
2019-03-01,Maximum Sharpe,VNQ,0.08377309334628043
2019-03-01,Maximum Sharpe,EEM,0.15179659267821172
2019-03-01,Maximum Sharpe,IWM,0.16531113987101456
2019-03-01,Maximum Sharpe,SPY,0.1465079227658322
2019-04-01,Equal Weight,GLD,0.020081655335493692
2019-04-01,Equal Weight,TLT,0.022355286409966698
2019-04-01,Equal Weight,QQQ,0.18890949078329985
2019-04-01,Equal Weight,IEF,0.010763918402224966
2019-04-01,Equal Weight,LQD,0.03647787522036704
2019-04-01,Equal Weight,EFA,0.07692002636740584
2019-04-01,Equal Weight,VNQ,0.0675156413038454
2019-04-01,Equal Weight,EEM,0.11155270217512568
2019-04-01,Equal Weight,IWM,0.13503147581443312
2019-04-01,Equal Weight,SPY,0.13274726450103203
2019-04-01,Minimum Variance,GLD,0.020081655335493692
2019-04-01,Minimum Variance,TLT,0.022355286409966698
2019-04-01,Minimum Variance,QQQ,0.18890949078329985
2019-04-01,Minimum Variance,IEF,0.010763918402224966
2019-04-01,Minimum Variance,LQD,0.03647787522036704
2019-04-01,Minimum Variance,EFA,0.07692002636740584
2019-04-01,Minimum Variance,VNQ,0.0675156413038454
2019-04-01,Minimum Variance,EEM,0.11155270217512568
2019-04-01,Minimum Variance,IWM,0.13503147581443312
2019-04-01,Minimum Variance,SPY,0.13274726450103203
2019-04-01,Maximum Sharpe,GLD,0.020081655335493692
2019-04-01,Maximum Sharpe,TLT,0.022355286409966698
2019-04-01,Maximum Sharpe,QQQ,0.18890949078329985
2019-04-01,Maximum Sharpe,IEF,0.010763918402224966
2019-04-01,Maximum Sharpe,LQD,0.03647787522036704
2019-04-01,Maximum Sharpe,EFA,0.07692002636740584
2019-04-01,Maximum Sharpe,VNQ,0.0675156413038454
2019-04-01,Maximum Sharpe,EEM,0.11155270217512568
2019-04-01,Maximum Sharpe,IWM,0.13503147581443312
2019-04-01,Maximum Sharpe,SPY,0.13274726450103203
2019-05-01,Equal Weight,GLD,-0.0006133363767778053
2019-05-01,Equal Weight,TLT,0.01572541704299961
2019-05-01,Equal Weight,QQQ,0.21821427423698436
2019-05-01,Equal Weight,IEF,0.008345575286251673
2019-05-01,Equal Weight,LQD,0.03149634376035605
2019-05-01,Equal Weight,EFA,0.08228533436146337
2019-05-01,Equal Weight,VNQ,0.07302854030803992
2019-05-01,Equal Weight,EEM,0.11808289860554129
2019-05-01,Equal Weight,IWM,0.13980584345920916
2019-05-01,Equal Weight,SPY,0.14572585808087538
2019-05-01,Minimum Variance,GLD,-0.0006133363767778053
2019-05-01,Minimum Variance,TLT,0.01572541704299961
2019-05-01,Minimum Variance,QQQ,0.21821427423698436
2019-05-01,Minimum Variance,IEF,0.008345575286251673
2019-05-01,Minimum Variance,LQD,0.03149634376035605
2019-05-01,Minimum Variance,EFA,0.08228533436146337
2019-05-01,Minimum Variance,VNQ,0.07302854030803992
2019-05-01,Minimum Variance,EEM,0.11808289860554129
2019-05-01,Minimum Variance,IWM,0.13980584345920916
2019-05-01,Minimum Variance,SPY,0.14572585808087538
2019-05-01,Maximum Sharpe,GLD,-0.0006133363767778053
2019-05-01,Maximum Sharpe,TLT,0.01572541704299961
2019-05-01,Maximum Sharpe,QQQ,0.21821427423698436
2019-05-01,Maximum Sharpe,IEF,0.008345575286251673
2019-05-01,Maximum Sharpe,LQD,0.03149634376035605
2019-05-01,Maximum Sharpe,EFA,0.08228533436146337
2019-05-01,Maximum Sharpe,VNQ,0.07302854030803992
2019-05-01,Maximum Sharpe,EEM,0.11808289860554129
2019-05-01,Maximum Sharpe,IWM,0.13980584345920916
2019-05-01,Maximum Sharpe,SPY,0.14572585808087538
2019-07-01,Equal Weight,GLD,0.024448652246751815
2019-07-01,Equal Weight,TLT,0.016867328363775407
2019-07-01,Equal Weight,QQQ,0.2114065665593791
2019-07-01,Equal Weight,IEF,0.013285390432644961
2019-07-01,Equal Weight,LQD,0.04035526107847973
2019-07-01,Equal Weight,EFA,0.09577787376103214
2019-07-01,Equal Weight,VNQ,0.05220201105245757
2019-07-01,Equal Weight,EEM,0.11284616393102977
2019-07-01,Equal Weight,IWM,0.1336470929907659
2019-07-01,Equal Weight,SPY,0.14381391852433037
2019-07-01,Minimum Variance,GLD,0.024448652246751815
2019-07-01,Minimum Variance,TLT,0.016867328363775407
2019-07-01,Minimum Variance,QQQ,0.2114065665593791
2019-07-01,Minimum Variance,IEF,0.013285390432644961
2019-07-01,Minimum Variance,LQD,0.04035526107847973
2019-07-01,Minimum Variance,EFA,0.09577787376103214
2019-07-01,Minimum Variance,VNQ,0.05220201105245757
2019-07-01,Minimum Variance,EEM,0.11284616393102977
2019-07-01,Minimum Variance,IWM,0.1336470929907659
2019-07-01,Minimum Variance,SPY,0.14381391852433037
2019-07-01,Maximum Sharpe,GLD,0.024448652246751815
2019-07-01,Maximum Sharpe,TLT,0.016867328363775407
2019-07-01,Maximum Sharpe,QQQ,0.2114065665593791
2019-07-01,Maximum Sharpe,IEF,0.013285390432644961
2019-07-01,Maximum Sharpe,LQD,0.04035526107847973
2019-07-01,Maximum Sharpe,EFA,0.09577787376103214
2019-07-01,Maximum Sharpe,VNQ,0.05220201105245757
2019-07-01,Maximum Sharpe,EEM,0.11284616393102977
2019-07-01,Maximum Sharpe,IWM,0.1336470929907659
2019-07-01,Maximum Sharpe,SPY,0.14381391852433037
2019-08-01,Equal Weight,GLD,0.01631447200547532
2019-08-01,Equal Weight,TLT,0.009415625576614281
2019-08-01,Equal Weight,QQQ,0.19197947015120828
2019-08-01,Equal Weight,IEF,0.011824188698221792
2019-08-01,Equal Weight,LQD,0.03569736840246353
2019-08-01,Equal Weight,EFA,0.07094359545760168
2019-08-01,Equal Weight,VNQ,0.04040242429187175
2019-08-01,Equal Weight,EEM,0.0826536253839226
2019-08-01,Equal Weight,IWM,0.11045629135309463
2019-08-01,Equal Weight,SPY,0.1321425439835459
2019-08-01,Minimum Variance,GLD,0.01631447200547532
2019-08-01,Minimum Variance,TLT,0.009415625576614281
2019-08-01,Minimum Variance,QQQ,0.19197947015120828
2019-08-01,Minimum Variance,IEF,0.011824188698221792
2019-08-01,Minimum Variance,LQD,0.03569736840246353
2019-08-01,Minimum Variance,EFA,0.07094359545760168
2019-08-01,Minimum Variance,VNQ,0.04040242429187175
2019-08-01,Minimum Variance,EEM,0.0826536253839226
2019-08-01,Minimum Variance,IWM,0.11045629135309463
2019-08-01,Minimum Variance,SPY,0.1321425439835459
2019-08-01,Maximum Sharpe,GLD,0.01631447200547532
2019-08-01,Maximum Sharpe,TLT,0.009415625576614281
2019-08-01,Maximum Sharpe,QQQ,0.19197947015120828
2019-08-01,Maximum Sharpe,IEF,0.011824188698221792
2019-08-01,Maximum Sharpe,LQD,0.03569736840246353
2019-08-01,Maximum Sharpe,EFA,0.07094359545760168
2019-08-01,Maximum Sharpe,VNQ,0.04040242429187175
2019-08-01,Maximum Sharpe,EEM,0.0826536253839226
2019-08-01,Maximum Sharpe,IWM,0.11045629135309463
2019-08-01,Maximum Sharpe,SPY,0.1321425439835459
2019-10-01,Equal Weight,GLD,0.03826885985994217
2019-10-01,Equal Weight,TLT,0.04137293311559837
2019-10-01,Equal Weight,QQQ,0.18143818286489763
2019-10-01,Equal Weight,IEF,0.022666791896826997
2019-10-01,Equal Weight,LQD,0.045854939910884726
2019-10-01,Equal Weight,EFA,0.07139457261312372
2019-10-01,Equal Weight,VNQ,0.07549990248166506
2019-10-01,Equal Weight,EEM,0.0655602017736539
2019-10-01,Equal Weight,IWM,0.09524626033812625
2019-10-01,Equal Weight,SPY,0.135749341938541
2019-10-01,Minimum Variance,GLD,0.03826885985994217
2019-10-01,Minimum Variance,TLT,0.04137293311559837
2019-10-01,Minimum Variance,QQQ,0.18143818286489763
2019-10-01,Minimum Variance,IEF,0.022666791896826997
2019-10-01,Minimum Variance,LQD,0.045854939910884726
2019-10-01,Minimum Variance,EFA,0.07139457261312372
2019-10-01,Minimum Variance,VNQ,0.07549990248166506
2019-10-01,Minimum Variance,EEM,0.0655602017736539
2019-10-01,Minimum Variance,IWM,0.09524626033812625
2019-10-01,Minimum Variance,SPY,0.135749341938541
2019-10-01,Maximum Sharpe,GLD,0.03826885985994217
2019-10-01,Maximum Sharpe,TLT,0.04137293311559837
2019-10-01,Maximum Sharpe,QQQ,0.18143818286489763
2019-10-01,Maximum Sharpe,IEF,0.022666791896826997
2019-10-01,Maximum Sharpe,LQD,0.045854939910884726
2019-10-01,Maximum Sharpe,EFA,0.07139457261312372
2019-10-01,Maximum Sharpe,VNQ,0.07549990248166506
2019-10-01,Maximum Sharpe,EEM,0.0655602017736539
2019-10-01,Maximum Sharpe,IWM,0.09524626033812625
2019-10-01,Maximum Sharpe,SPY,0.135749341938541
2019-11-01,Equal Weight,GLD,0.05856376259635047
2019-11-01,Equal Weight,TLT,0.057603114298957626
2019-11-01,Equal Weight,QQQ,0.1975650898729837
2019-11-01,Equal Weight,IEF,0.029392128455716725
2019-11-01,Equal Weight,LQD,0.053256347223840324
2019-11-01,Equal Weight,EFA,0.08750088419032896
2019-11-01,Equal Weight,VNQ,0.10614285085882365
2019-11-01,Equal Weight,EEM,0.0822025597056365
2019-11-01,Equal Weight,IWM,0.11737410687193146
2019-11-01,Equal Weight,SPY,0.14619095764973972
2019-11-01,Minimum Variance,GLD,0.05856376259635047
