date,strategy,asset,weight
2018-03-01,Shrunk Max Sharpe λ=0.75,IEF,0.29999999999999843
2018-03-01,Shrunk Max Sharpe λ=0.75,IWM,0.0
2018-03-01,Shrunk Max Sharpe λ=0.75,LQD,0.29999999999999827
2018-03-01,Shrunk Max Sharpe λ=0.75,QQQ,0.06701000873790462
2018-03-01,Shrunk Max Sharpe λ=0.75,SPY,0.23140645761328446
2018-03-01,Shrunk Max Sharpe λ=0.75,TLT,1.5987841333930806e-15
2018-03-01,Shrunk Max Sharpe λ=0.75,VNQ,5.193873207451966e-16
2018-03-01,Turnover-Aware Max Sharpe γ=0.05,EEM,1.746329574921587e-15
2018-03-01,Turnover-Aware Max Sharpe γ=0.05,EFA,1.7041202960629855e-15
2018-03-01,Turnover-Aware Max Sharpe γ=0.05,GLD,0.1515289516032962
2018-03-01,Turnover-Aware Max Sharpe γ=0.05,IEF,6.49064859152612e-17
2018-03-01,Turnover-Aware Max Sharpe γ=0.05,IWM,3.3595193845795517e-15
2018-03-01,Turnover-Aware Max Sharpe γ=0.05,LQD,0.2710588468127829
2018-03-01,Turnover-Aware Max Sharpe γ=0.05,QQQ,0.2999999999999984
2018-03-01,Turnover-Aware Max Sharpe γ=0.05,SPY,0.27741220158391355
2018-03-01,Turnover-Aware Max Sharpe γ=0.05,TLT,1.9004969925589662e-17
2018-03-01,Turnover-Aware Max Sharpe γ=0.05,VNQ,1.9662580727630903e-15
2018-03-01,Turnover-Aware Max Sharpe γ=0.10,EEM,0.0
2018-03-01,Turnover-Aware Max Sharpe γ=0.10,EFA,0.0
2018-03-01,Turnover-Aware Max Sharpe γ=0.10,GLD,0.12721321756734705
2018-03-01,Turnover-Aware Max Sharpe γ=0.10,IEF,0.0
2018-03-01,Turnover-Aware Max Sharpe γ=0.10,IWM,0.0
2018-03-01,Turnover-Aware Max Sharpe γ=0.10,LQD,0.2999999999999989
2018-03-01,Turnover-Aware Max Sharpe γ=0.10,QQQ,0.2999999999999989
2018-03-01,Turnover-Aware Max Sharpe γ=0.10,SPY,0.27278678243265525
2018-03-01,Turnover-Aware Max Sharpe γ=0.10,TLT,0.0
2018-03-01,Turnover-Aware Max Sharpe γ=0.10,VNQ,0.0
2018-03-01,Turnover-Aware Max Sharpe γ=0.25,EEM,1.8643965923269333e-15
2018-03-01,Turnover-Aware Max Sharpe γ=0.25,EFA,2.1771370973252557e-15
2018-03-01,Turnover-Aware Max Sharpe γ=0.25,GLD,0.12708131425021327
2018-03-01,Turnover-Aware Max Sharpe γ=0.25,IEF,0.10000000000000511
2018-03-01,Turnover-Aware Max Sharpe γ=0.25,IWM,3.767819389821625e-15
2018-03-01,Turnover-Aware Max Sharpe γ=0.25,LQD,0.09999999999999976
2018-03-01,Turnover-Aware Max Sharpe γ=0.25,QQQ,0.29999999999999816
2018-03-01,Turnover-Aware Max Sharpe γ=0.25,SPY,0.29999999999999655
2018-03-01,Turnover-Aware Max Sharpe γ=0.25,TLT,0.07291868574977672
2018-03-01,Turnover-Aware Max Sharpe γ=0.25,VNQ,2.5744259142251168e-15
2018-05-01,Combined Robust Max Sharpe λ=0.50 γ=0.10,EEM,1.883274153037308e-14
2018-05-01,Combined Robust Max Sharpe λ=0.50 γ=0.10,EFA,1.28667975082995e-14
2018-05-01,Combined Robust Max Sharpe λ=0.50 γ=0.10,GLD,0.10962233116536553
2018-05-01,Combined Robust Max Sharpe λ=0.50 γ=0.10,IEF,0.2557545269782908
2018-05-01,Combined Robust Max Sharpe λ=0.50 γ=0.10,IWM,1.2160595791302848e-14
2018-05-01,Combined Robust Max Sharpe λ=0.50 γ=0.10,LQD,0.2999999999999551
2018-05-01,Combined Robust Max Sharpe λ=0.50 γ=0.10,QQQ,0.2161952314172
