rebalance_date,strategy,turnover
2020-07-01,Combined Robust Max Sharpe λ=0.50 γ=0.10,0.01414789277442217
2020-07-01,Equal Weight,0.0
2020-07-01,Maximum Sharpe,0.025103210490399347
2020-07-01,Minimum Variance,0.014903827893864182
2020-07-01,SPY,0.0
2020-07-01,Shrunk Max Sharpe λ=0.25,0.025280675130717557
2020-07-01,Shrunk Max Sharpe λ=0.50,0.017603802199505043
2020-07-01,Shrunk Max Sharpe λ=0.75,0.06085311117932709
2020-07-01,Turnover-Aware Max Sharpe γ=0.05,0.01814278080867519
2020-07-01,Turnover-Aware Max Sharpe γ=0.10,0.011142851358839525
2020-07-01,Turnover-Aware Max Sharpe γ=0.25,0.002354239495266322
2020-09-01,Combined Robust Max Sharpe λ=0.50 γ=0.10,0.005715121918152666
2020-09-01,Equal Weight,0.0
2020-09-01,Maximum Sharpe,0.020566689484275716
2020-09-01,Minimum Variance,0.03985272120834414
2020-09-01,SPY,0.0
2020-09-01,Shrunk Max Sharpe λ=0.25,0.01300251883553466
2020-09-01,Shrunk Max Sharpe λ=0.50,0.01190831431797596
2020-09-01,Shrunk Max Sharpe λ=0.75,0.061992521178859485
2020-09-01,Turnover-Aware Max Sharpe γ=0.05,0.020874465521974667
2020-09-01,Turnover-Aware Max Sharpe γ=0.10,0.02124362787215639
2020-09-01,Turnover-Aware Max Sharpe γ=0.25,0.01746356675534219
2020-10-01,Combined Robust Max Sharpe λ=0.50 γ=0.10,0.007944132301270087
2020-10-01,Equal Weight,0.0
2020-10-01,Maximum Sharpe,0.022683908361512115
2020-10-01,Minimum Variance,0.01957275880331372
2020-10-01,SPY,0.0
2020-10-01,Shrunk Max Sharpe λ=0.25,0.018524610674138693
2020-10-01,Shrunk Max Sharpe λ=0.50,0.015475699603253849
2020-10-01,Shrunk Max Sharpe λ=0.75,0.01085203269941407
2020-10-01,Turnover-Aware Max Sharpe γ=0.05,0.015913923564248367
2020-10-01,Turnover-Aware Max Sharpe γ=0.10,0.013331192214324212
2020-10-01,Turnover-Aware Max Sharpe γ=0.25,0.0027922944596195237
2020-12-01,Combined Robust Max Sharpe λ=0.50 γ=0.10,0.03057968546073705
2020-12-01,Equal Weight,0.0
2020-12-01,Maximum Sharpe,0.04167389631279865
2020-12-01,Minimum Variance,0.030609036901952276
2020-12-01,SPY,0.0
2020-12-01,Shrunk Max Sharpe λ=0.25,0.030213810911451346
2020-12-01,Shrunk Max Sharpe λ=0.50,0.0922555396377975
2020-12-01,Shrunk Max Sharpe λ=0.75,0.09647597713212033
2020-12-01,Turnover-Aware Max Sharpe γ=0.05,0.027805022450509906
