date,strategy,asset,weight
2018-05-01,Combined Robust Max Sharpe λ=0.50 γ=0.10,IEF,0.25575452938721066
2018-05-01,Combined Robust Max Sharpe λ=0.50 γ=0.10,IWM,2.0132944100557042e-14
2018-05-01,Combined Robust Max Sharpe λ=0.50 γ=0.10,LQD,0.2999999999999291
2018-05-01,Combined Robust Max Sharpe λ=0.50 γ=0.10,QQQ,0.2161952137700441
2018-05-01,Combined Robust Max Sharpe λ=0.50 γ=0.10,SPY,0.11842792717256648
2018-05-01,Combined Robust Max Sharpe λ=0.50 γ=0.10,TLT,4.4726025151458553e-14
2018-05-01,Combined Robust Max Sharpe λ=0.50 γ=0.10,VNQ,2.502257874444056e-14
2018-05-01,Equal Weight,EEM,0.1
2018-05-01,Equal Weight,EFA,0.1
2018-05-01,Equal Weight,GLD,0.1
2018-05-01,Equal Weight,IEF,0.1
2018-05-01,Equal Weight,IWM,0.1
2018-05-01,Equal Weight,LQD,0.1
2018-05-01,Equal Weight,QQQ,0.1
2018-05-01,Equal Weight,SPY,0.1
2018-05-01,Equal Weight,TLT,0.1
2018-05-01,Equal Weight,VNQ,0.1
2018-05-01,Maximum Sharpe,EEM,0.0
2018-05-01,Maximum Sharpe,EFA,3.0911680344683007e-16
2018-05-01,Maximum Sharpe,GLD,0.24626094617301808
2018-05-01,Maximum Sharpe,IEF,3.975219083015977e-17
2018-05-01,Maximum Sharpe,IWM,0.011529806972656296
2018-05-01,Maximum Sharpe,LQD,0.0
2018-05-01,Maximum Sharpe,QQQ,0.29999999999999993
2018-05-01,Maximum Sharpe,SPY,0.29999999999999927
2018-05-01,Maximum Sharpe,TLT,0.1422092468543259
2018-05-01,Maximum Sharpe,VNQ,2.1450841719075585e-16
2018-05-01,Minimum Variance,EEM,1.7200759335814936e-18
2018-05-01,Minimum Variance,EFA,0.027677704568762607
2018-05-01,Minimum Variance,GLD,0.11751418149759656
2018-05-01,Minimum Variance,IEF,0.3
2018-05-01,Minimum Variance,IWM,0.03490048131332359
2018-05-01,Minimum Variance,LQD,0.30000000000000004
2018-05-01,Minimum Variance,QQQ,0.0
2018-05-01,Minimum Variance,SPY,0.1892272859218967
