date,strategy,asset,weight
2018-11-01,Minimum Variance,QQQ,3.026886619769609e-17
2018-11-01,Minimum Variance,IWM,0.01776464790412797
2018-11-01,Minimum Variance,EFA,0.023288302174388265
2018-11-01,Minimum Variance,EEM,0.0
2018-11-01,Minimum Variance,TLT,0.03871276311699701
2018-11-01,Minimum Variance,IEF,0.29999999999999993
2018-11-01,Minimum Variance,LQD,0.3
2018-11-01,Minimum Variance,GLD,0.10634341768354912
2018-11-01,Minimum Variance,VNQ,2.1818363716063627e-17
2018-11-01,Maximum Sharpe,SPY,0.29999999999999993
2018-11-01,Maximum Sharpe,QQQ,0.2999999999999999
2018-11-01,Maximum Sharpe,IWM,0.0070867472801445204
2018-11-01,Maximum Sharpe,EFA,3.6318796698188066e-16
2018-11-01,Maximum Sharpe,EEM,3.0503504422681546e-16
2018-11-01,Maximum Sharpe,TLT,4.0320074894817758e-16
2018-11-01,Maximum Sharpe,IEF,0.0
2018-11-01,Maximum Sharpe,LQD,0.23577618709025094
2018-11-01,Maximum Sharpe,GLD,0.15713706562960364
2018-11-01,Maximum Sharpe,VNQ,1.891006799026728e-17
2019-02-01,Equal Weight,SPY,0.1
2019-02-01,Equal Weight,QQQ,0.1
2019-02-01,Equal Weight,IWM,0.1
2019-02-01,Equal Weight,EFA,0.1
2019-02-01,Equal Weight,EEM,0.1
2019-02-01,Equal Weight,TLT,0.1
2019-02-01,Equal Weight,IEF,0.1
2019-02-01,Equal Weight,LQD,0.1
2019-02-01,Equal Weight,GLD,0.1
2019-02-01,Equal Weight,VNQ,0.1
2019-02-01,Minimum Variance,SPY,0.160232834854494
2019-02-01,Minimum Variance,QQQ,1.8608758365643237e-17
2019-02-01,Minimum Variance,IWM,0.027551650712487358
2019-02-01,Minimum Variance,EFA,0.05132689116318061
2019-02-01,Minimum Variance,EEM,5.953454522353351e-18
2019-02-01,Minimum Variance,TLT,0.056150494168147845
2019-02-01,Minimum Variance,IEF,0.29999999999999993
2019-02-01,Minimum Variance,LQD,0.29999999999999993
2019-02-01,Minimum Variance,GLD,0.10473812910169034
2019-02-01,Minimum Variance,VNQ,3.396122451284018e-17
2019-02-01,Maximum Sharpe,SPY,0.169991685362592
2019-02-01,Maximum Sharpe,QQQ,0.22516805993246408
2019-02-01,Maximum Sharpe,IWM,0.07335576481227123
2019-02-01,Maximum Sharpe,EFA,0.0
2019-02-01,Maximum Sharpe,EEM,0.0
2019-02-01,Maximum Sharpe,TLT,0.0
2019-02-01,Maximum Sharpe,IEF,0.0
2019-02-01,Maximum Sharpe,LQD,0.3
2019-02-01,Maximum Sharpe,GLD,0.23148448989267273
2019-02-01,Maximum Sharpe,VNQ,0.0
2019-03-01,Equal Weight,SPY,0.1
2019-03-01,Equal Weight,QQQ,0.1
2019-03-01,Equal Weight,IWM,0.1
2019-03-01,Equal Weight,EFA,0.1
2019-03-01,Equal Weight,EEM,0.1
2019-03-01,Equal Weight,TLT,0.1
2019-03-01,Equal Weight,IEF,0.1
2019-03-01,Equal Weight,LQD,0.1
2019-03-01,Equal Weight,GLD,0.1
2019-03-01,Equal Weight,VNQ,0.1
2019-03-01,Minimum Variance,SPY,0.1631015030692105
2019-03-01,Minimum Variance,QQQ,0.0
2019-03-01,Minimum Variance,IWM,0.026974797565809484
2019-03-01,Minimum Variance,EFA,0.04660867208967666
2019-03-01,Minimum Variance,EEM,0.0
2019-03-01,Minimum Variance,TLT,0.05303632102760489
2019-03-01,Minimum Variance,IEF,0.3
2019-03-01,Minimum Variance,LQD,0.3
2019-03-01,Minimum Variance,GLD,0.11027870624769846
2019-03-01,Minimum Variance,VNQ,1.3317340551271335e-17
2019-03-01,Maximum Sharpe,SPY,0.1245523428302485
2019-03-01,Maximum Sharpe,QQQ,0.3
2019-03-01,Maximum Sharpe,IWM,0.16704023202436852
2019-03-01,Maximum Sharpe,EFA,5.454268099578196e-18
2019-03-01,Maximum Sharpe,EEM,7.482684961267856e-17
2019-03-01,Maximum Sharpe,TLT,6.028285944613574e-17
2019-03-01,Maximum Sharpe,IEF,3.243801101952705e-17
2019-03-01,Maximum Sharpe,LQD,0.3
2019-03-01,Maximum Sharpe,GLD,0.10840742514538282
2019-03-01,Maximum Sharpe,VNQ,3.6977672773066253e-17
2019-04-01,Equal Weight,SPY,0.1
2019-04-01,Equal Weight,QQQ,0.1
2019-04-01,Equal Weight,IWM,0.1
2019-04-01,Equal Weight,EFA,0.1
2019-04-01,Equal Weight,EEM,0.1
2019-04-01,Equal Weight,TLT,0.1
2019-04-01,Equal Weight,IEF,0.1
2019-04-01,Equal Weight,LQD,0.1
2019-04-01,Equal Weight,GLD,0.1
2019-04-01,Equal Weight,VNQ,0.1
2019-04-01,Minimum Variance,SPY,0.14176843521892038
2019-04-01,Minimum Variance,QQQ,8.773685172195907e-20
2019-04-01,Minimum Variance,IWM,0.043215512255355686
2019-04-01,Minimum Variance,EFA,0.04953291194621336
2019-04-01,Minimum Variance,EEM,0.0
2019-04-01,Minimum Variance,TLT,0.04797249133238693
2019-04-01,Minimum Variance,IEF,0.30000000000000004
2019-04-01,Minimum Variance,LQD,0.30000000000000004
2019-04-01,Minimum Variance,GLD,0.11751064924712361
2019-04-01,Minimum Variance,VNQ,3.9901851681038194e-17
2019-04-01,Maximum Sharpe,SPY,0.2579813536519159
2019-04-01,Maximum Sharpe,QQQ,0.30000000000000004
2019-04-01,Maximum Sharpe,IWM,1.9895231882848215e-16
2019-04-01,Maximum Sharpe,EFA,1.442298987301496e-17
2019-04-01,Maximum Sharpe,EEM,3.8316347623572914e-17
2019-04-01,Maximum Sharpe,TLT,0.11305608195788146
2019-04-01,Maximum Sharpe,IEF,0.0
2019-04-01,Maximum Sharpe,LQD,0.30000000000000004
2019-04-01,Maximum Sharpe,GLD,0.02896256439020228
2019-04-01,Maximum Sharpe,VNQ,5.50924783340901e-17
2019-05-01,Equal Weight,SPY,0.1
2019-05-01,Equal Weight,QQQ,0.1
2019-05-01,Equal Weight,IWM,0.1
2019-05-01,Equal Weight,EFA,0.1
2019-05-01,Equal Weight,EEM,0.1
2019-05-01,Equal Weight,TLT,0.1
2019-05-01,Equal Weight,IEF,0.1
2019-05-01,Equal Weight,LQD,0.1
2019-05-01,Equal Weight,GLD,0.1
2019-05-01,Equal Weight,VNQ,0.1
2019-05-01,Minimum Variance,SPY,0.14109337649717063
2019-05-01,Minimum Variance,QQQ,2.0719436567498806e-17
2019-05-01,Minimum Variance,IWM,0.04062795998212927
2019-05-01,Minimum Variance,EFA,0.05257024039871008
2019-05-01,Minimum Variance,EEM,0.0
2019-05-01,Minimum Variance,TLT,0.04682697402028837
