strategy,stress_period,rolling_window,total_strategy_return,rf_component,actual_excess_return,alpha_component,MKT_RF_component,SMB_component,HML_component,RMW_component,CMA_component,MOM_component,predicted_excess_return,residual_component,factor_explained_fraction_of_excess
Inverse Volatility,COVID,504,-0.022821236964126183,0.0029000000000000002,-0.02572123696412621,0.0037691188706849535,-0.02927818383998929,-0.00012187235579016565,0.033673141815586984,9.323764937394276e-05,8.472374400183183e-05,-0.00011063001036262579,0.00810953587350564,-0.03383077283763185,-0.3152856095068884
Maximum Sharpe,2022_RATE_HIKE,252,-0.22953417849104912,0.0065000000000000014,-0.23603417849104907,0.006756938712230893,-0.04810231524315958,-0.00016435104826117498,-0.0743072725612835,0.00047642783111959955,0.016707902163881103,0.011610521743922617,-0.08702214840155005,-0.14901203008949904,0.3686845225461707
Maximum Sharpe,2022_RATE_HIKE,504,-0.22953417849104912,0.0065000000000000014,-0.23603417849104907,-0.013019564735975311,-0.06619785399770214,-0.00045193895680794693,-0.03430217653704114,0.0003244615815473518,-0.011457404070433509,0.011111945863836828,-0.11399253085257587,-0.12204164763847325,0.4829492558294845
Maximum Sharpe,COVID,252,-0.023663942063853714,0.0029000000000000002,-0.026563942063853714,0.0037420524829591246,-0.05217345464555123,0.0014035027120102277,0.03062504320230163,-0.00025640562156025175,-0.00010902751760630294,-0.00038301998039606117,-0.017151309367842902,-0.009412632696010835,0.6456613000666479
Maximum Sharpe,COVID,504,-0.023663942063853714,0.0029000000000000002,-0.026563942063853714,-0.0027757355467035736,-0.059955953782440195,0.003644972050222153,0.03201664930153624,0.00036507478064059227,-8.65783191750938e-05,-0.00010246100718603587,-0.026894032523105897,0.00033009045925215703,1.0124262603215561
Minimum Variance,2022_RATE_HIKE,252,-0.22043845404266316,0.0065000000000000014,-0.22693845404266313,-0.011004578932932683,-0.024893089939179384,0.0004612842587438995,-0.04436496918190502,0.0003689921855244648,0.012897501219153219,0.003776305768322898,-0.06275855462227259,-0.16417989942039052,0.2765443824274679
Minimum Variance,2022_RATE_HIKE,504,-0.22043845404266316,0.0065000000000000014,-0.22693845404266313,-0.0032263716241899606,-0.038385024976949914,0.0007892549335449784,-0.014517441259294762,0.0002835637287275823,-0.014111193851442343,0.005332140736470777,-0.06383507231313365,-0.16310338172952948,0.2812880372452569
Minimum Variance,COVID,252,-0.0005448045376293086,0.0029000000000000002,-0.0034448045376292797,0.016493380994576447,-0.01134938583349887,-0.0025900065984267645,0.03215066770114913,0.0010242415872301187,9.518129232350362e-05,-0.0015011126791508362,0.034322966464202735,-0.03776777100183204,-9.963690563361792
Minimum Variance,COVID,504,-0.0005448045376293086,0.0029000000000000002,-0.0034448045376292797,0.004933813886076503,-0.01734080037429151,0.0018162186521973388,0.030631927633146074,0.0006966885417487204,8.917292034839109e-05,-0.0003009085720358437,0.020526112687189683,-0.02397091722481899,-5.958571077973494
SPY,2022_RATE_HIKE,252,-0.17057390741242093,0.0065000000000000014,-0.17707390741242088,0.0075790818708790725,-0.18666193418783633,-0.002339431044228721,0.005350169068653522,0.00027697073513602115,0.008615582233346608,-0.002853514418246465,-0.17003307574229637,-0.007040831670124511,0.960237892905781
SPY,2022_RATE_HIKE,504,-0.17057390741242093,0.0065000000000000014,-0.17707390741242088,-0.004385687024622307,-0.18208164307373018,-0.002085161792668643,0.003167115455392613,0.00025358847078185134,0.01055601884712721,-0.0028008554260882603,-0.17737662454380776,0.00030271713138687976,1.0017095524451372
SPY,COVID,252,-0.10356389156647954,0.0029000000000000002,-0.10646389156647953,-0.0009355147491177818,-0.10505418447342493,0.00638217946363547,-0.00021095850498737494,-0.0007359180931612742,4.5572268912843304e-05,-0.00022824908820846335,-0.10073707317635149,-0.005726818390128055,0.9462088196677271
