strategy,model,factor,coefficient,hac_se,hac_tstat,hac_pvalue,hac_ci_low,hac_ci_high
Maximum Sharpe,FF5,MKT_RF,0.5179531226244464,0.023164121270208077,22.36014552775624,9.619859022092511e-111,0.4725522792013203,0.5633539660475724
Maximum Sharpe,FF5,SMB,-0.046753272240060414,0.024744647939261757,-1.8894296800997554,0.05883427702797345,-0.09525189101113672,0.0017453465310158928
Maximum Sharpe,FF5,HML,-0.17407521910629523,0.020713677802902977,-8.403877899553837,4.3197182737713996e-17,-0.21467328158735183,-0.13347715662523862
Maximum Sharpe,FF5,RMW,-0.07719514461321975,0.029420458244817864,-2.623859355651503,0.008693967751770218,-0.13485818318172726,-0.01953210604471224
Maximum Sharpe,FF5,CMA,0.019556697626129316,0.03561666473613097,0.5490884048525245,0.5829447821680123,-0.050250682506125174,0.0893640777583838
Maximum Sharpe,FF5_MOM,MKT_RF,0.5191853470328546,0.02359887694843545,22.000426044311205,2.8528635427068617e-107,0.4729323981383286,0.5654382959273806
Maximum Sharpe,FF5_MOM,SMB,-0.03398015092885417,0.02502387320191377,-1.3579093314081947,0.1744924560567913,-0.08302604115830216,0.015065739300593822
Maximum Sharpe,FF5_MOM,HML,-0.16349532513973883,0.02157988927888778,-7.576281927437457,3.55598630054408e-14,-0.2057911309167209,-0.12119951936275675
Maximum Sharpe,FF5_MOM,RMW,-0.0685654711493103,0.028180878608459126,-2.433049448242853,0.014972256029338805,-0.12379897827458543,-0.013331964024035178
Maximum Sharpe,FF5_MOM,CMA,0.003990211227236456,0.03720567119807103,0.10724739263522097,0.9145927183266185,-0.06893156434162195,0.07691198679609487
Maximum Sharpe,FF5_MOM,MOM,0.028908767589887033,0.014464790240765545,1.9985611342233363,0.04565585912390753,0.000558299674060108,0.05725923550571396
Combined Robust Max Sharpe λ=0.50 γ=0.10,CAPM,MKT_RF,0.39630473314507375,0.023877554466454464,16.59737531755363,7.280564317735849e-62,0.3495055863519295,0.443103879938218
Combined Robust Max Sharpe λ=0.50 γ=0.10,FF3,MKT_RF,0.3826191977775047,0.020226277201881113,18.91693631796561,8.272555179878435e-80,0.34297642292049413,0.42226197263451526
Combined Robust Max Sharpe λ=0.50 γ=0.10,FF3,SMB,-0.00617577421833024,0.018959984565367054,-0.32572675347062874,0.7446311008421285,-0.043336661113884976,0.030985112677224497
Combined Robust Max Sharpe λ=0.50 γ=0.10,FF3,HML,-0.1614269454205785,0.015478539211118482,-10.429081402243886,1.8264543700764245e-25,-0.19176432480766176,-0.13108956603349525
Combined Robust Max Sharpe λ=0.50 γ=0.10,FF5,MKT_RF,0.3866249845800159,0.02072539960901655,18.65464559784967,1.157672087528868e-77,0.3460039477811429,0.42724602137888884
Combined Robust Max Sharpe λ=0.50 γ=0.10,FF5,SMB,-0.01723100006857782,0.02053735846721421,-0.8390076112312763,0.40146503851020854,-0.0574834830019064,0.02302148286475076
Combined Robust Max Sharpe λ=0.50 γ=0.10,FF5,HML,-0.1702891039526117,0.019149466124392025,-8.892629321696988,5.967963686394748e-19,-0.20782136787958988,-0.13275684002563354
Combined Robust Max Sharpe λ=0.50 γ=0.10,FF5,RMW,-0.05162567661782094,0.025605411114640157,-2.0162018249456435,0.04377887568715036,-0.10181136021185724,-0.0014399930237846345
Combined Robust Max Sharpe λ=0.50 γ=0.10,FF5,CMA,0.07820645694792308,0.0354712491731167,2.204784403454135,0.02746922700111371,0.008684086081968176,0.14772882781387797
Combined Robust Max Sharpe λ=0.50 γ=0.10,FF5_MOM,MKT_RF,0.3877766547955084,0.021093459027538702,18.38373944687043,1.7731341906836123e-75,0.34643423479216123,0.4291190747988555
Combined Robust Max Sharpe λ=0.50 γ=0.10,FF5_MOM,SMB,-0.00529289587861567,0.020891080733060206,-0.253356728943163,0.7999925622914619,-0.0462386617135323,0.03565286995630096
Combined Robust Max Sharpe λ=0.50 γ=0.10,FF5_MOM,HML,-0.1604008492798332,0.02025920584483682,-7.917430254094205,2.4246955699954023e-15,-0.20010816309109672,-0.12069353546856967
Combined Robust Max Sharpe λ=0.50 γ=0.10,FF5_MOM,RMW,-0.04356015070387547,0.024704377602565362,-1.7632563509453516,0.07785726351773929,-0.09197984106538154,0.004859539657630606
Combined Robust Max Sharpe λ=0.50 γ=0.10,FF5_MOM,CMA,0.06365759829592123,0.036139197510507225,1.761455778795675,0.07816129134566556,-0.007173927254852511,0.13448912384669498
Combined Robust Max Sharpe λ=0.50 γ=0.10,FF5_MOM,MOM,0.027018915039090163,0.015239520791465844,1.7729504364875304,0.07623692007434799,-0.002849996853832231,0.05688782693201255
Inverse Volatility,CAPM,MKT_RF,0.39900490888606,0.011188603665727971,35.66172516310142,1.5506604439912406e-278,0.37707564866394033,0.42093416910817966
Inverse Volatility,FF3,MKT_RF,0.3812765605932869,0.011539958395999634,33.0396824242848,2.188278598672304e-239,0.358658657754037,0.4038944634325368
