date,strategy,stress_period,rolling_window,RF,strategy_return,actual_excess_return,alpha_component,MKT_RF_component,SMB_component,HML_component,RMW_component,CMA_component,MOM_component,predicted_excess_return,residual_component,factor_component
2022-02-18,Inverse Volatility,2022_RATE_HIKE,252,0.0,-0.000875931000107,-0.000875931000107,-3.951260243230777e-05,-0.0027192460213301167,7.096977498231381e-05,-0.0014373442572192772,0.0007528462728503683,0.0003129243761821298,0.00020547368969322637,-0.002853888767273663,0.0019779577671666633,-0.002814376164841356
2022-02-22,Inverse Volatility,2022_RATE_HIKE,252,0.0,-0.00400150213162,-0.00400150213162,-3.951260243230777e-05,-0.0037429621705367165,-0.00021290932494694148,-0.00013616945594708941,-2.8143785900948348e-05,0.00011379068224804718,8.93363868231419e-05,-0.003956570270692814,-4.49318609271861e-05,-0.003917057668260507
2022-02-23,Inverse Volatility,2022_RATE_HIKE,252,0.0,-0.0098734790536762,-0.0098734790536762,-3.951260243230777e-05,-0.006238270284227914,3.548488749115691e-05,-0.0018912424437095754,1.4071892950474174e-05,0.0007609751875338155,0.00016616567949104394,-0.007192327682903306,-0.002681151370772894,-0.007152815080470999
2022-02-24,Inverse Volatility,2022_RATE_HIKE,252,0.0,0.0039675064254858,0.0039675064254858,-3.951260243230777e-05,0.005982341246926257,0.0004080762061483045,0.0058704165452745215,-0.0012594344190674386,-0.0012801451752905307,-0.0005431652318847028,0.009138576569674104,-0.0051710701441883035,0.009178089172106411
2022-02-25,Inverse Volatility,2022_RATE_HIKE,252,0.0,0.008666107355891,0.008666107355891,-3.951260243230777e-05,0.0071660130444464246,-8.279807081269947e-05,-0.0018004628064115006,0.0002532940731085351,-0.00013512643516955602,0.0001304311247617872,0.005491838327490683,0.003174269028400317,0.00553135092992299
2022-02-28,Inverse Volatility,2022_RATE_HIKE,252,0.0,0.0047053460788153,0.0047053460788153,-3.951260243230777e-05,9.597338898812174e-05,0.00023065176869251994,0.0006959772192851237,-0.000562875718018967,0.00017779794101257374,-5.18151043574223e-05,0.0005461968931696422,0.004159149185645658,0.0005857094956019498
2022-03-01,Inverse Volatility,2022_RATE_HIKE,252,0.0,1.647450899472597e-05,1.647450899472597e-05,-3.951260243230777e-05,-0.0049586250977196236,-0.00016559614162539894,0.0012860448617225113,-0.0002884738054847135,0.0003769316349466563,4.824164888449663e-05,-0.003740989501708379,0.003757464010703105,-0.0037014768992760716
2022-03-02,Inverse Volatility,2022_RATE_HIKE,252,0.0,-0.0045672658821843,-0.0045672658821843,-3.951260243230777e-05,0.00582238559861272,0.00037259131865714757,-0.0019668921414579582,0.00036586921671232853,0.00033426012910363145,0.00023763478894955745,0.005126336308145119,-0.009693602190329418,0.005165848910577427
2022-03-03,Inverse Volatility,2022_RATE_HIKE,252,0.0,-0.0006512403317082,-0.0006512403317082,-3.951260243230777e-05,-0.002751237150992824,-0.00013011125413424203,-0.002284620872001167,0.0008794933094046359,0.0008889897050628686,0.00024120824442248312,-0.0031957906206705527,0.0025445502889623528,-0.0031562780182382453
2022-03-04,Inverse Volatility,2022_RATE_HIKE,252,0.0,0.0003374630236307,0.0003374630236307,-3.951260243230777e-05,-0.0034870331332350906,-0.00030753569159002657,-0.0010893556475767153,0.00026033001958377224,0.0008747658697818627,0.00026979588820588853,-0.003518545297262616,0.003856008320893316,-0.0034790326948303087
2022-03-07,Inverse Volatility,2022_RATE_HIKE,252,0.0,-0.014031565239547,-0.014031565239547,-3.951260243230777e-05,-0.010045214714090075,0.0004317327978090758,-0.0013465646199212176,-0.000485480306791359,0.0009601088814678981,0.0001036302087148446,-0.010421300355243142,-0.0036102648843038578,-0.010381787752810834
