strategy,window,factor,mean,median,std,min,max,p05,p25,p75,p95
Equal Risk Contribution,252,beta_HML,-0.08385571455722585,-0.10263657909923055,0.09897034865019441,-0.23675258394035698,0.11614064557944903,-0.20585454240188822,-0.17418463735170597,0.014387386818955537,0.0828263787606516
Equal Risk Contribution,252,beta_RMW,-0.000558163868258033,-0.014892901000354241,0.07141774432298233,-0.18353042362722505,0.15046877148213084,-0.10611693117899292,-0.047619198003455904,0.05973659321799002,0.11327707292804781
Equal Risk Contribution,252,beta_CMA,0.10077180946163522,0.09848999934888435,0.10194506606768436,-0.11797376236934207,0.31687717635356094,-0.09129191166214186,0.03534154787742616,0.18300501683007672,0.25785840652234654
Equal Risk Contribution,252,beta_MOM,-0.019075368904301823,-0.027896018226044036,0.09101160200302445,-0.19237300106328264,0.25548298736490166,-0.15150956524981155,-0.0848242685678952,0.03687601200525083,0.14765541956241104
Equal Risk Contribution,504,beta_MKT_RF,0.3300991886424624,0.30779312407074516,0.05608766882965135,0.21284194996760575,0.43607912771375656,0.2561233418283488,0.2829694338787072,0.38748068524273205,0.41605210120846986
Equal Risk Contribution,504,beta_SMB,0.09556953057827543,0.10185854764806973,0.03098943500298952,-0.003152168557170428,0.17086466052643648,0.052112873222518376,0.06722305522086394,0.12125996746522959,0.1406704989715527
Equal Risk Contribution,504,beta_HML,-0.0646537172330513,-0.06039921096095281,0.06967224913856075,-0.2073348378350938,0.05534327823624163,-0.1720015183706613,-0.12376516347533886,-0.010545644690115126,0.04632304684510483
Equal Risk Contribution,504,beta_RMW,0.006069465981760305,0.012160018655508547,0.051202704402546616,-0.09971566835710265,0.09519214604447106,-0.0791358252683941,-0.040248939861651664,0.05427576567739765,0.0734426958212863
Equal Risk Contribution,504,beta_CMA,0.07329741801047765,0.08632051332612717,0.08724176631374801,-0.09487863337881834,0.23584119877416976,-0.08103154383628138,0.005196464221624095,0.1441452398718329,0.1915288755270232
Equal Risk Contribution,504,beta_MOM,-0.011200155575573313,-0.03776951103273675,0.07551728102739132,-0.12548344437646788,0.14544924736252202,-0.10677941463328285,-0.06956790751561477,0.03429235510575837,0.12307099621765882
Equal Weight,252,beta_MKT_RF,0.550096272486635,0.5485524434868136,0.057782004679704,0.427766862569783,0.6991936445169905,0.4464811030806179,0.5144414060005497,0.5834389472212554,0.6561312983501287
Equal Weight,252,beta_SMB,0.11104219998217776,0.10755551005568707,0.031648418810944295,0.024668298140125264,0.26559192868933734,0.06887100828329346,0.08996642682103434,0.13567615426588636,0.16056423675609907
Equal Weight,252,beta_HML,-0.05698108585023144,-0.06934564179551549,0.07556622440694855,-0.1869210406147418,0.1032943660506283,-0.15555076528448408,-0.12173953587122786,0.01659620506401744,0.07216298556149565
Equal Weight,252,beta_RMW,-0.009011041154990716,-0.002190300189434991,0.05450907756187614,-0.14596181614018774,0.10007736997560178,-0.10747225569545836,-0.04774388621035011,0.03648053521651811,0.06831672627096261
Equal Weight,252,beta_CMA,0.07970486342571373,0.08214839516365306,0.08542310685546474,-0.12101437573729337,0.29054379599987645,-0.08704692501990942,0.028487230329943065,0.15131631487203126,0.189801279856043
Equal Weight,252,beta_MOM,-0.02580144115140218,-0.03243726755489264,0.07234958177410651,-0.17818378135619956,0.22034369388888503,-0.12663495078596432,-0.07377677811993695,0.01889628690197075,0.09885287509252798
Equal Weight,504,beta_MKT_RF,0.5560403693143351,0.5550883047961264,0.028137366771496704,0.4532360130352471,0.6377181814159862,0.5249301366837931,0.5345925418970298,0.5690222483996283,0.6112556926106166
Equal Weight,504,beta_SMB,0.12151703708902738,0.1266936157654427,0.02314073263493885,0.022121342767579426,0.17544137058420717,0.08698870857742622,0.10907071728456832,0.13849761246843,0.15187584076718424
Equal Weight,504,beta_HML,-0.036969708317085105,-0.03771334366695861,0.048089209605189566,-0.1723106620879417,0.05266139620370919,-0.10585462901596351,-0.07522368209288179,-0.004711772372287409,0.0463598066347667
Equal Weight,504,beta_RMW,-0.004593028000507157,0.0099242939794169,0.040046382470040436,-0.11698996876361545,0.05876112443224089,-0.07908777344831742,-0.040340302152355796,0.024474483444231563,0.041554115118773084
Equal Weight,504,beta_CMA,0.06016820348201533,0.08209278473790826,0.07205474421704362,-0.08141704964294205,0.17933475767918206,-0.06655513594575298,-0.004452817490669891,0.11867342010231535,0.15067349228725324
Equal Weight,504,beta_MOM,-0.018822565441278014,-0.027950384906559107,0.05929616614865793,-0.10382401581288503,0.12444992264693563,-0.08695060089578337,-0.06961828616397164,0.016642724437472892,0.08458981995713705
Inverse Volatility,252,beta_MKT_RF,0.38795014046903026,0.38399942558264666,0.07751064290269259,0.2352846935471602,0.5855279028163665,0.2649974395132581,0.33928200324351176,0.4323486947689237,0.538446888377094
Inverse Volatility,252,beta_SMB,0.08687563354189132,0.08483384108224755,0.03442411600193282,-0.0071224514821118246,0.2602909276269498,0.0371150452482165,0.06279806763677001,0.11152422216288116,0.1388301282593045
Inverse Volatility,252,beta_HML,-0.07146217578445138,-0.08447801503512067,0.08974403255066751,-0.21315474196487733,0.11467355790319461,-0.17913187065736588,-0.1536097258137703,0.012959628288895044,0.0798744417346543
Inverse Volatility,252,beta_RMW,0.002000201408385814,-0.0016972864773638838,0.062248916918045995,-0.17247068336445365,0.12434268931049305,-0.10072441966888922,-0.038909165261413914,0.05685488336776015,0.0962417134951308
Inverse Volatility,252,beta_CMA,0.09202596715484102,0.09624586770289072,0.0959948311627993,-0.12675679806913676,0.27300161899228553,-0.09909460979560603,0.034595334804112116,0.17183650110784976,0.22801182859180952
Inverse Volatility,252,beta_MOM,-0.021617277632973452,-0.029914109386652322,0.08418206448979566,-0.18630894345286358,0.2529650450598251,-0.14118610665718367,-0.08352447754530123,0.031113393203711544,0.12975276776939146
Inverse Volatility,504,beta_MKT_RF,0.3917741101487799,0.3864195895250334,0.04490126604050807,0.26512633807477726,0.4942754679855963,0.3391731992184632,0.35225092096813004,0.42897167172633627,0.4691879389273558
Inverse Volatility,504,beta_SMB,0.09827610118244401,0.10495073860691945,0.027997565899534588,-0.00646260923631296,0.16540608331489876,0.056819858237136256,0.07668379548685428,0.12135929880877973,0.13558038730253832
Inverse Volatility,504,beta_HML,-0.05086501869701409,-0.04908097247332506,0.06158925092062043,-0.19751228999421258,0.05989129074364186,-0.14089710693916094,-0.10359277447120283,-0.006128208241701842,0.05251562368751099
Inverse Volatility,504,beta_RMW,0.008156583965216006,0.017826096483591305,0.045748066799033024,-0.09357036997971478,0.08665484076181529,-0.07363559728631101,-0.03679667970934568,0.045797699763501204,0.06606953041639918
Inverse Volatility,504,beta_CMA,0.06618041244230187,0.08414171437573952,0.08102102636259402,-0.09333661717981052,0.21043132129806255,-0.07776523786347235,0.0021134710668659733,0.13002789393002173,0.17276296344718883
Inverse Volatility,504,beta_MOM,-0.014558905685970595,-0.03680586976261706,0.0703158702624643,-0.11277849484076843,0.1453749111340377,-0.09785749735067585,-0.07251630702252898,0.024634684243616572,0.11050185250376485
Maximum Sharpe,252,beta_MKT_RF,0.5669262746066887,0.5916504149276445,0.19543076735512097,0.2467621053915553,0.9119714745254952,0.2812628075206836,0.3547785816893494,0.7397090753867782,0.8714855221915918
Maximum Sharpe,252,beta_SMB,-0.03783059259571203,-0.0372918950086063,0.03823569584157165,-0.1465702066889724,0.189937458006889,-0.09940073456046834,-0.06455761313704576,-0.012701572416060439,0.015735613251877632
Maximum Sharpe,252,beta_HML,-0.12078497671745966,-0.13858670967869124,0.10357330982634136,-0.33248815667440573,0.0678328172770376,-0.29903808194198805,-0.17866264853115577,-0.025646014142055206,0.03339044471490804
Maximum Sharpe,252,beta_RMW,0.018498888000799598,0.032962527689529765,0.08312823529827418,-0.23754166378801486,0.2791294415300628,-0.17698459749003456,-0.03743833026738675,0.0764857310267432,0.14327263220516354
Maximum Sharpe,252,beta_CMA,0.030464967314753254,0.04855884906993365,0.12810284408263822,-0.27958410213037227,0.37592952892517884,-0.16269551206869012,-0.08229385979317358,0.09348210979554133,0.26719800442530567
Maximum Sharpe,252,beta_MOM,0.017137969660178293,0.01150366044403833,0.08667200052080841,-0.22060262076552875,0.19752178278309987,-0.1322396477481665,-0.026253021160133547,0.05826522794075055,0.1853437422703301
Maximum Sharpe,504,beta_MKT_RF,0.5542226937134176,0.5504125948746849,0.16797890758700998,0.2767858058720049,0.8403624525646768,0.3523048461394106,0.3807462429116099,0.6976422485587443,0.8233605208187209
Maximum Sharpe,504,beta_SMB,-0.033114548181161586,-0.026960400766330668,0.028599719238037183,-0.10661340692753507,0.08338261627584273,-0.08417423675582313,-0.05084422556646392,-0.01620489068694827,0.010056524720278242
