strategy,model,window,window_start,window_end,n_obs,alpha_daily,alpha_annualized,alpha_hac_se,alpha_hac_tstat,alpha_hac_pvalue,r_squared,adjusted_r_squared,residual_std,condition_number,beta_MKT_RF,beta_SMB,beta_HML,beta_RMW,beta_CMA,beta_MOM
Maximum Sharpe,FF5_MOM,504,2023-02-17,2025-02-21,504,6.0773072004451876e-05,0.015314814145121872,0.00012778108204185897,0.47560304728475866,0.6343572040156722,0.851956602572262,0.8501693583377219,0.024216458348596523,291.3591951913887,0.8106671439108213,-0.031471346797545305,-0.13723601285484918,-0.02183481250245704,0.038230337173387176,-0.02247883850267535
Maximum Sharpe,FF5_MOM,504,2023-02-21,2025-02-24,504,6.465331646982327e-05,0.016292635750395464,0.00012827318725174374,0.5040282997173625,0.6142414903991903,0.8518079521553703,0.8500189133483929,0.024233326069101425,292.05828545217764,0.8108954686055456,-0.032739974357326715,-0.13601498433847872,-0.021290039684085108,0.037591881201669314,-0.023551205432977732
Maximum Sharpe,FF5_MOM,504,2023-02-22,2025-02-25,504,5.708089549055572e-05,0.014384385663620042,0.00012789461331419945,0.4463119596000869,0.6553719184582207,0.8502969156622345,0.8484896349660039,0.02425073048012561,290.93661021786136,0.8115796276601959,-0.033809432123868874,-0.13613712904618336,-0.024642104263372253,0.03751076886218552,-0.023897540684860094
Maximum Sharpe,FF5_MOM,504,2023-02-23,2025-02-26,504,6.264864871499343e-05,0.015787459476178343,0.00012799736344531657,0.48945264987242004,0.6245212692520563,0.8504189826918754,0.848613175641878,0.024238452900441614,290.0702388635611,0.8111367462787502,-0.033363263166746045,-0.13669064398396358,-0.025368779492045933,0.03698361056061712,-0.024076762475933454
Maximum Sharpe,FF5_MOM,504,2023-02-24,2025-02-27,504,5.668109084659763e-05,0.014283634893342603,0.0001277152574112707,0.44380829663970595,0.6571811894963302,0.8521914083133338,0.8504069987557483,0.02425478083627761,287.91375971921775,0.8124644152204843,-0.03221143121765604,-0.13968271546155242,-0.02369068376743528,0.04067969308559469,-0.024362767252564414
Maximum Sharpe,FF5_MOM,504,2023-02-27,2025-02-28,504,5.0504928359095046e-05,0.012727241946491951,0.00012878678420893342,0.3921592473118971,0.6949405532449775,0.8506780472925421,0.8488753677829953,0.024335695205932623,287.1068661724747,0.8092804597702887,-0.028034799634359002,-0.14256661228297268,-0.01987884595893995,0.038211988172655954,-0.02567587649581268
Maximum Sharpe,FF5_MOM,504,2023-02-28,2025-03-03,504,6.592360369492264e-05,0.016612748131120503,0.000128428946699566,0.5133079838234429,0.60773590009279,0.8474745628312809,0.8456332094650589,0.024614152950565522,285.977046017912,0.8032474077349456,-0.03330298048966823,-0.13475441317547865,-0.02586083914530798,0.028012571316748232,-0.02474771491427008
Maximum Sharpe,FF5_MOM,504,2023-03-01,2025-03-04,504,7.800619385719616e-05,0.019657560852013433,0.0001298958607893988,0.6005287111008736,0.548153932306233,0.8466555250803545,0.8448042839344432,0.024682945822396937,284.29697124622385,0.8006859097475358,-0.02926967627033868,-0.14153326812693456,-0.023404721299902988,0.029848414695178203,-0.02651806285601554
Maximum Sharpe,FF5_MOM,504,2023-03-02,2025-03-05,504,7.043563378900855e-05,0.017749779714830154,0.00013012588295578716,0.5412884215582264,0.5883087998124547,0.8472964780274232,0.8454529747440521,0.024666176322256397,284.28629508113823,0.8011228242031228,-0.030195358375359586,-0.14196589054617476,-0.02318830681086995,0.028328749618573703,-0.028260675081664032
Maximum Sharpe,FF5_MOM,504,2023-03-03,2025-03-06,504,7.373530477436251e-05,0.018581296803139354,0.00012954008316524475,0.5692084100355549,0.5692147139859953,0.8488534378501427,0.847028730862418,0.02465771441834756,282.177696745933,0.8016312228074771,-0.030795152520289026,-0.14217039085315908,-0.02323266993542674,0.028851294356267026,-0.02884762066788851
Maximum Sharpe,FF5_MOM,504,2023-03-06,2025-03-07,504,7.154125456293899e-05,0.018028396149860626,0.0001295573065109386,0.5521977608950887,0.5808128682937812,0.8478461454998748,0.8460092780411208,0.02465049910831448,281.2015501413781,0.800832775246747,-0.03030221998048534,-0.142012068482332,-0.02306347276779993,0.029726610183978527,-0.028076886885167917
Maximum Sharpe,FF5_MOM,504,2023-03-07,2025-03-10,504,7.252827642656288e-05,0.018277125659493847,0.00012914126874148213,0.5616196676195865,0.57437517740509,0.8512744949129775,0.8494790159783252,0.024641857078838512,280.3607958583642,0.8015956734884351,-0.03223002962173597,-0.14082064836015284,-0.024805135849739087,0.029577768307550698,-0.02747000428056256
Maximum Sharpe,FF5_MOM,504,2023-03-08,2025-03-11,504,9.492975007769643e-05,0.0239222970195795,0.00013125105869137132,0.7232684522638237,0.4695149708497257,0.8497479955455237,0.8479340880470794,0.024665298728573058,280.1044737909363,0.7949380193207591,-0.02661836692198779,-0.14190636361149314,-0.030086796113773795,0.026068117829055264,-0.022205919204081694
Maximum Sharpe,FF5_MOM,504,2023-03-09,2025-03-12,504,9.79346343623444e-05,0.024679527859310785,0.00013135060586111848,0.7455971270196808,0.4559108189424753,0.8498276047874003,0.8480146583663226,0.0246749969771278,278.3009392596714,0.7946724617876713,-0.027892046695074564,-0.1406222133913129,-0.03347331785690251,0.027121813873899833,-0.020948493178198024
